protocol,faults,delay_ms,rate,run,tps,latency_ms
noveldag,3,50,60000,2,55182.546797715324,3176.542494372417
noveldag,3,50,60000,3,55355.13630042105,3794.1833990800546
noveldag,3,50,60000,mean,55267.3,3272.1
noveldag,3,50,130000,1,120070.7414748572,2861.951311320772
noveldag,3,50,130000,2,120606.06943323069,2866.4363285076793
noveldag,3,50,130000,3,120416.2864296852,2924.4516649086045
noveldag,3,50,130000,mean,120364.4,2884.3
noveldag,3,50,200000,1,184222.82036329166,2897.9701616864577
noveldag,3,50,200000,2,180575.06194716177,4008.1372130492205
noveldag,3,50,200000,3,183520.70495927893,2907.6462379268087
noveldag,3,50,200000,mean,182772.9,3271.3
noveldag,3,50,270000,1,195123.381438725,3633.0143494884346
noveldag,3,50,270000,2,191637.4103599509,3975.9540415236584
noveldag,3,50,270000,3,194343.74187577303,3168.2847051603153
noveldag,3,50,270000,mean,193701.5,3592.4
wahoo,3,50,60000,1,57095.76892585396,1741.9812453346215
wahoo,3,50,60000,2,57191.054779000624,2720.111447678515
wahoo,3,50,60000,3,56848.90951172052,1929.826409925922
wahoo,3,50,60000,mean,57045.2,2130.6
wahoo,3,50,130000,1,124572.932768111,2079.490265627639
wahoo,3,50,130000,2,124591.0599332353,1836.7067673397887
wahoo,3,50,130000,3,124458.2506646088,1922.305902892893
wahoo,3,50,130000,mean,124540.7,1946.2
wahoo,3,50,200000,1,191564.9764621012,1935.7130236886626
wahoo,3,50,200000,2,188620.4735703525,1994.4112366791794
wahoo,3,50,200000,3,187337.29217473275,1820.4020448017998
wahoo,3,50,200000,mean,189174.2,1916.8
wahoo,3,50,270000,1,214686.80647466626,2286.505849463732
wahoo,3,50,270000,2,215906.6583576758,1923.468365658255
wahoo,3,50,270000,3,215341.74853644733,2109.126936472379
wahoo,3,50,270000,mean,215311.7,2106.4
narwhal,0,100,60000,1,27781.14518188848,6046.214680956758
narwhal,0,100,60000,2,33937.566751751736,7945.590371810473
narwhal,0,100,60000,3,30497.934738160413,6545.582127215257
narwhal,0,100,60000,mean,30738.9,6845.8
narwhal,0,100,130000,1,91361.37786337677,6935.363848665927
narwhal,0,100,130000,2,88397.43341248631,6681.5526552109095
narwhal,0,100,130000,3,88881.30837475508,6543.104190039739
narwhal,0,100,130000,mean,89546.7,6720.0
narwhal,0,100,200000,1,98634.44570813916,8591.871105790755
narwhal,0,100,200000,2,98628.96678788445,7088.883679365021
narwhal,0,100,200000,3,97983.28474666979,7563.328742669299
narwhal,0,100,200000,mean,98415.6,7748.0
narwhal,0,100,270000,1,74848.33495572387,6403.304194111422
narwhal,0,100,270000,2,98437.69778230597,6716.93048946193
